model,target_fps,optimization_mode,n_validation_recordings,mean_F1,median_F1,std_F1,mean_precision,mean_recall,mean_median_abs_timing_error_sec,median_median_abs_timing_error_sec,mean_signed_timing_error_sec,mean_timing_weighted_recall,median_timing_weighted_recall,smoothing_window_sec,derivative_weight,amplitude_weight,event_score_threshold,baseline_min_event_distance_sec,ar_model,method,optimize_b,optimize_pars,oasis_threshold_z,oasis_min_event_distance_sec,mlspike_use_autocalibration,mlspike_a,mlspike_tau,mlspike_sigma,mlspike_saturation,mlspike_drift_parameter,mlspike_amin,mlspike_amax,mlspike_taumin,mlspike_taumax
SimpleBaseline,10,spike_bins,14,0.418473833418382,0.421662033283138,0.117625029043682,0.520427105914136,0.503346095921138,0,0,0.013128286773748,0.335086544476773,0.340457042449043,0.1,0.6,0.4,0.5,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.418473833418382,0.421662033283138,0.117625029043682,0.520427105914136,0.503346095921138,0,0,0.013128286773748,0.335086544476773,0.340457042449043,0.1,0.6,0.4,0.5,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.418473833418382,0.421662033283138,0.117625029043682,0.520427105914136,0.503346095921138,0,0,0.013128286773748,0.335086544476773,0.340457042449043,0.1,0.6,0.4,0.5,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.390038174517384,0.378540648832353,0.115813362721963,0.517572046315289,0.452920017870779,0,0,0.0154096812503682,0.302630046748358,0.320280759795639,0.1,0.6,0.4,0.5,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.421657365608877,0.423720182585648,0.114141541394362,0.553080182073059,0.479946441096616,0,0,0.0132432378438317,0.320050981450483,0.325970617881268,0.1,0.6,0.4,0.6,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.421657365608877,0.423720182585648,0.114141541394362,0.553080182073059,0.479946441096616,0,0,0.0132432378438317,0.320050981450483,0.325970617881268,0.1,0.6,0.4,0.6,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.421657365608877,0.423720182585648,0.114141541394362,0.553080182073059,0.479946441096616,0,0,0.0132432378438317,0.320050981450483,0.325970617881268,0.1,0.6,0.4,0.6,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.421657365608877,0.423720182585648,0.114141541394362,0.553080182073059,0.479946441096616,0,0,0.0132432378438317,0.320050981450483,0.325970617881268,0.1,0.6,0.4,0.6,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.392424491004136,0.403182053704776,0.116850585018411,0.549689615176008,0.433576108959113,0.00714284895184805,0,0.0154659749644976,0.289888627096934,0.308111622683029,0.1,0.6,0.4,0.6,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.418950517617317,0.43809469459187,0.10900283434796,0.579725685291377,0.450834753273449,0,0,0.0126775028813727,0.306868205133422,0.310262793440052,0.1,0.6,0.4,0.7,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.418950517617317,0.43809469459187,0.10900283434796,0.579725685291377,0.450834753273449,0,0,0.0126775028813727,0.306868205133422,0.310262793440052,0.1,0.6,0.4,0.7,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
